Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TokenizedLogin-1653946501687,1,643,643,643,643,643,643,643,0.000%,1.55521,28.46,5.56
LoginCSRF-1653946499515,1,2838,2838,2838,2838,2838,2838,2838,0.000%,.35236,0.38,0.10
GetLocations-1653946502198,1,166,166,166,166,166,166,166,0.000%,6.02410,12.17,9.91
LoginCSRF-1653946499489,1,2893,2893,2893,2893,2893,2893,2893,0.000%,.34566,0.38,0.10
GetLocations-1653946502230,1,165,165,165,165,165,165,165,0.000%,6.06061,12.24,9.97
GetLocationsInRange-1653946502286,1,146,146,146,146,146,146,146,0.000%,6.84932,9.70,11.81
LoginUser-1653946502340,1,108,108,108,108,108,108,108,0.000%,9.25926,14.51,14.42
LoginDashboard-1653946502362,1,113,113,113,113,113,113,113,0.000%,8.84956,27.65,15.30
DashboardRoute-1653946501852,1,635,635,635,635,635,635,635,0.000%,1.57480,128.93,1.95
GetLocationsInRange-1653946502364,1,136,136,136,136,136,136,136,0.000%,7.35294,10.41,12.67
LoginDashboard-1653946502385,1,115,115,115,115,115,115,115,0.000%,8.69565,27.16,15.03
DashboardRoute-1653946501987,1,517,517,517,517,517,517,517,0.000%,1.93424,158.35,2.39
DashboardRoute-1653946502052,1,478,478,478,478,478,478,478,0.000%,2.09205,171.27,2.58
GetLocationsInRange-1653946502417,1,117,117,117,117,117,117,117,0.000%,8.54701,12.10,14.73
LoginDashboard-1653946502443,1,106,106,106,106,106,106,106,0.000%,9.43396,29.46,16.31
DashboardRoute-1653946502101,1,483,483,483,483,483,483,483,0.000%,2.07039,169.50,2.56
GetLocationsInRange-1653946502499,1,129,129,129,129,129,129,129,0.000%,7.75194,10.98,13.36
CheckBookingsDateType-1653946502510,1,123,123,123,123,123,123,123,0.000%,8.13008,10.16,13.78
SelectLocation-1653946502505,1,137,137,137,137,137,137,137,0.000%,7.29927,14.76,12.48
SelectLocation-1653946502508,1,147,147,147,147,147,147,147,0.000%,6.80272,13.75,11.63
DashboardRoute-1653946502255,1,419,419,419,419,419,419,419,0.000%,2.38663,195.39,2.95
DashboardRoute-1653946502177,1,497,497,497,497,497,497,497,0.000%,2.01207,164.72,2.49
LoginCheck-1653946502587,1,106,106,106,106,106,106,106,0.000%,9.43396,11.05,18.99
DashboardRoute-1653946502124,1,573,573,573,573,573,573,573,0.000%,1.74520,142.88,2.16
